Record Date,Record Type,Location,Property Type,Price,Price/sqft,Built-up Area,Plot Area,Beds,Has Maid Room,Has Study Room,Floor Level,Views,Has Balcony,Developer,Comments,URL
2023-10-04,Secondary Transaction,"Azizi Star, Al Furjan",Apartment,427050.0,1075,397,0,Studio,False,False,10,,True,Azizi Developments,"Hotel Apartment, Unit-1022",nan
2023-10-04,Secondary Transaction,"Azizi Plaza, Al Furjan",Apartment,445300.0,1129,395,0,Studio,False,False,9,,True,Azizi Developments,"Hotel Apartment, Unit-935",nan
2023-10-04,Secondary Transaction,"Azizi Star, Al Furjan",Apartment,398880.0,1021,391,0,Studio,False,False,11,,True,Azizi Developments,"Hotel Apartment, Unit-1113",nan
2023-10-04,Secondary Transaction,"Shaista Azizi, Al Furjan",Apartment,463320.0,1120,414,0,Studio,False,False,4,,True,Azizi Developments,Unit-410,nan
2023-10-04,Secondary Transaction,"Azizi Star, Al Furjan",Apartment,416160.0,1085,384,0,Studio,False,False,10,,True,Azizi Developments,"Hotel Apartment, Unit-1036",nan
2023-09-04,Secondary Transaction,"Azizi Star, Al Furjan",Apartment,415795.0,1047,397,0,Studio,False,False,5,,True,Azizi Developments,"Hotel Apartment, Unit-508",nan
2023-09-04,Secondary Transaction,"Shaista Azizi, Al Furjan",Apartment,381500.0,991,385,0,Studio,False,False,5,,True,Azizi Developments,Unit-519,nan
2023-07-04,Secondary Transaction,"Azizi Star, Al Furjan",Apartment,484000.0,1236,392,0,Studio,False,False,12,,True,Azizi Developments,"Hotel Apartment, Unit-1216",nan
2023-07-04,Secondary Transaction,"Azizi Star, Al Furjan",Apartment,374990.0,1111,338,0,Studio,False,False,2,,True,Azizi Developments,"Hotel Apartment, Unit-234",nan
2023-07-04,Secondary Transaction,"Azizi Plaza, Al Furjan",Apartment,453530.0,1150,395,0,Studio,False,False,9,,True,Azizi Developments,"Hotel Apartment, Unit-922",nan
2023-07-04,Off-plan Transaction,"Westwood By IMTIAZ, Al Furjan",Apartment,840000.0,1052,798,0,1 Bed,False,False,7,,True,,Unit-719,nan
2023-07-04,Secondary Transaction,"Shaista Azizi, Al Furjan",Apartment,688800.0,790,872,0,1 Bed,False,False,3,,True,Azizi Developments,Unit-311,nan
2023-07-04,Secondary Transaction,"Azizi Star, Al Furjan",Apartment,407548.0,1063,384,0,Studio,False,False,4,,True,Azizi Developments,"Hotel Apartment, Unit-436",nan
2023-07-04,Secondary Transaction,"Massakin Al Furjan, South Village, Al Furjan",Apartment,1150000.0,764,1505,0,2 Bed,False,False,1,,True,Nakheel,Unit-105,nan
2023-07-04,Secondary Transaction,"Azizi Plaza, Al Furjan",Apartment,452250.0,1146,395,0,Studio,False,False,4,,True,Azizi Developments,"Hotel Apartment, Unit-435",nan
2023-07-04,Secondary Transaction,"Orchid, Azizi Residence, Al Furjan",Apartment,1165000.0,783,1487,0,2 Bed,False,False,7,,True,Azizi Developments,Unit-703,nan
